Device,I2C Bus,7-Bit SMBus Address,method (get or detect)
GPU4,0,0x4C,get
GPU5,0,0x4D,get
GPU6,0,0x4E,get
GPU7,0,0x4F,get
GPU0,0,0x44,get
GPU1,0,0x45,get
GPU2,0,0x46,get
GPU3,0,0x47,get
NVSwitch0,1,0x19,get
NVSwitch1,1,0x1A,get
NVSwitch2,1,0x1B,get
NVSwitch3,1,0x1C,get
PCIeRetimer0,1,0x33,get
PCIeRetimer1,1,0x44,get
PCIeRetimer2,1,0x45,get
PCIeRetimer3,1,0x46,get
PCIeRetimer4,1,0x47,get
PCIeRetimer5,1,0x48,get
PCIeRetimer6,1,0x49,get
PCIeRetimer7,1,0x0B,get
PCIeSwitch0,1,0x08,get
FPGA,1,0x60,get
HMC,1,0x54,detect
