dev_type,id_position,symbol,cmd,opcode,arg1,arg2,data_out_bits,ext_data_out_bits,additional_data_cnt,additional_data_in
GPU,cmd,pcie_link_speed,Passthrough,0x21,0x00,0x00,2:0,,0,
GPU,cmd,pcie_link_width,Passthrough,0x21,0x00,0x00,6:4,,0,
GPU,cmd,pcie_non_fatal_error_count,Passthrough,0x21,0x00,0x00,15:8,,0,
GPU,cmd,pcie_fatal_error_count,Passthrough,0x21,0x00,0x00,23:16,,0,
GPU,cmd,pcie_unsupported_request_count,Passthrough,0x21,0x00,0x00,31:24,,0,
GPU,cmd,pcie_L0_to_recovery_count,Passthrough,0x21,0x01,0x00,31:0,,0,
GPU,cmd,pcie_replay_rollover_count,Passthrough,0x21,0x02,0x00,15:0,,0,
GPU,cmd,pcie_NAKs_received_count,Passthrough,0x21,0x02,0x00,31:16,,0,
GPU,cmd,pcie_correctable_error_count,Passthrough,0x21,0x00,0x00,,15:0,0,
GPU,cmd,pcie_replay_count,Passthrough,0x21,0x01,0x00,,31:0,0,
GPU,cmd,pcie_NAKs_sent_count,Passthrough,0x21,0x02,0x00,,15:0,0,
GPU,cmd,pcie_raw_page_0_data,Passthrough,0x21,0x00,0x00,31:0,,0,
GPU,cmd,pcie_raw_page_1_data,Passthrough,0x21,0x01,0x00,31:0,,0,
GPU,cmd,pcie_raw_page_2_data,Passthrough,0x21,0x02,0x00,31:0,,0,
GPU,cmd,pcie_raw_page_0_extdata,Passthrough,0x21,0x00,0x00,,31:0,0,
GPU,cmd,pcie_raw_page_1_extdata,Passthrough,0x21,0x01,0x00,,31:0,0,
GPU,cmd,pcie_raw_page_2_extdata,Passthrough,0x21,0x02,0x00,,31:0,0,
NVSwitch,cmd,pcie_link_speed,PassthroughNvswitch,0x21,0x00,0x00,2:0,,0,
NVSwitch,cmd,pcie_link_width,PassthroughNvswitch,0x21,0x00,0x00,6:4,,0,
