Baseboard;Baseboard Baseboard
Baseboard_0;Baseboard Baseboard
BMC_0;HMC HMC
ERoT_BMC_0;ERoT_HMC ERoT_HMC
ERoT_FPGA;ERoT_FPGA ERoT_FPGA
ERoT_FPGA_0;ERoT_FPGA ERoT_FPGA
ERoT_GPU0;ERoT_GPU0 ERoT_GPU 0
ERoT_GPU1;ERoT_GPU1 ERoT_GPU 1
ERoT_GPU2;ERoT_GPU2 ERoT_GPU 2
ERoT_GPU3;ERoT_GPU3 ERoT_GPU 3
ERoT_GPU4;ERoT_GPU4 ERoT_GPU 4
ERoT_GPU5;ERoT_GPU5 ERoT_GPU 5
ERoT_GPU6;ERoT_GPU6 ERoT_GPU 6
ERoT_GPU7;ERoT_GPU7 ERoT_GPU 7
ERoT_GPU_SXM_1;ERoT_GPU4 ERoT_GPU 4
ERoT_GPU_SXM_2;ERoT_GPU5 ERoT_GPU 5
ERoT_GPU_SXM_3;ERoT_GPU6 ERoT_GPU 6
ERoT_GPU_SXM_4;ERoT_GPU7 ERoT_GPU 7
ERoT_GPU_SXM_5;ERoT_GPU0 ERoT_GPU 0
ERoT_GPU_SXM_6;ERoT_GPU1 ERoT_GPU 1
ERoT_GPU_SXM_7;ERoT_GPU2 ERoT_GPU 2
ERoT_GPU_SXM_8;ERoT_GPU3 ERoT_GPU 3
ERoT_HMC;ERoT_HMC ERoT_HMC
ERoT_HMC_0;ERoT_HMC ERoT_HMC
ERoT_NVSwitch_0;ERoT_NVSwitch0 ERoT_NVSwitch 0
ERoT_NVSwitch0;ERoT_NVSwitch0 ERoT_NVSwitch 0
ERoT_NVSwitch_1;ERoT_NVSwitch1 ERoT_NVSwitch 1
ERoT_NVSwitch1;ERoT_NVSwitch1 ERoT_NVSwitch 1
ERoT_NVSwitch_2;ERoT_NVSwitch2 ERoT_NVSwitch 2
ERoT_NVSwitch2;ERoT_NVSwitch2 ERoT_NVSwitch 2
ERoT_NVSwitch_3;ERoT_NVSwitch3 ERoT_NVSwitch 3
